ccode,name,num_code,year,age,sex,population
GHA,Ghana,288,2023,28,male,264166.97599999997
GHA,Ghana,288,2023,29,female,251588.96
GHA,Ghana,288,2023,29,male,256718.49599999996
GHA,Ghana,288,2023,30,female,245841.824
GHA,Ghana,288,2023,30,male,249383.136
GHA,Ghana,288,2023,31,female,240118.624
GHA,Ghana,288,2023,31,male,242069.152
GHA,Ghana,288,2023,32,female,234797.664
GHA,Ghana,288,2023,32,male,234820.35199999998
GHA,Ghana,288,2023,33,female,230080.22400000002
GHA,Ghana,288,2023,33,male,227717.792
GHA,Ghana,288,2023,34,female,225741.66400000002
GHA,Ghana,288,2023,34,male,220729.568
GHA,Ghana,288,2023,35,female,221329.34399999998
GHA,Ghana,288,2023,35,male,213752.80000000002
GHA,Ghana,288,2024,15,female,219036.22400000002
GHA,Ghana,288,2024,15,male,229345.664
GHA,Ghana,288,2024,16,female,320366.36799999996
GHA,Ghana,288,2024,16,male,335473.408
GHA,Ghana,288,2024,17,female,384859.00800000003
GHA,Ghana,288,2024,17,male,402317.728
GHA,Ghana,288,2024,18,female,388672.92799999996
GHA,Ghana,288,2024,18,male,404563.968
GHA,Ghana,288,2024,19,female,353165.472
GHA,Ghana,288,2024,19,male,364979.232
GHA,Ghana,288,2024,20,female,333368.352
GHA,Ghana,288,2024,20,male,347060.35199999996
GHA,Ghana,288,2024,21,female,304666.208
GHA,Ghana,288,2024,21,male,316859.232
GHA,Ghana,288,2024,22,female,282723.32800000004
GHA,Ghana,288,2024,22,male,293699.232
GHA,Ghana,288,2024,23,female,276856.448
GHA,Ghana,288,2024,23,male,287318.43200000003
GHA,Ghana,288,2024,24,female,280705.664
GHA,Ghana,288,2024,24,male,291042.752
GHA,Ghana,288,2024,25,female,278644.03200000006
GHA,Ghana,288,2024,25,male,288499.168
GHA,Ghana,288,2024,26,female,273856.576
GHA,Ghana,288,2024,26,male,283009.24799999996
GHA,Ghana,288,2024,27,female,268694.656
GHA,Ghana,288,2024,27,male,277004.44800000003
GHA,Ghana,288,2024,28,female,262791.136
GHA,Ghana,288,2024,28,male,270078.848
GHA,Ghana,288,2024,29,female,256473.60000000003
GHA,Ghana,288,2024,29,male,262568.288
GHA,Ghana,288,2024,30,female,250396.83200000002
GHA,Ghana,288,2024,30,male,255226.52799999996
GHA,Ghana,288,2024,31,female,244381.95200000002
GHA,Ghana,288,2024,31,male,247917.216
GHA,Ghana,288,2024,32,female,238787.872
